UAV height,image name,h1 (m),h2 (m),Distance from UAV (m),Tính toán,Th?c t?,Sai s? (%),Kho?ng cách ??n tâm,
0.755,,1.1,1.4,2.5,,,,,
0.81,,1.22,1.7,2.92,,,,,
0.905,,1.3,2.7,4,,,,,
1,,1.36,1.56,3.1,,,,,
1.22,,1.61,2.59,4.2,,,,,
1.83,,,,,6.26,6.28,0.318471338,,
2.05,human_frame_3,,,,,4.9,,7.8,
2.05,human_frame_4,,,,5.84,5.98,2.341137124,7.8,
2.05,human_frame_5,,,,3.54,3.7,4.324324324,7.8,
2.05,human_frame_6,,,,3.54,3.7,4.324324324,7.8,
2.05,human_frame_7,,,,4.54,4.62,1.731601732,7.8,
2.13,,,,,4.76,4.8,0.833333333,,
4.47,human_frame_1,,,,6.83,7.3,0.833333333,17.65, 
4.47,human_frame_2,,,,8.1,8,0.833333333,17.65, 
